Designator,Mid X,Mid Y,Rotation,Layer
A1BUS1,217.805,-130.81,0.0,top
C1,144.165,-79.375,0.0,top
C10,215.9,-111.72,270.0,top
C11,188.810112,-102.235,0.0,top
C12,254.850112,-120.015,0.0,top
C13,181.61,-111.085,270.0,top
C2,139.125,-79.375,180.0,top
C3,117.435,-80.01,0.0,top
C4,117.475,-105.41,180.0,top
C5,97.79,-66.0,270.0,top
C6,128.27,-66.0,270.0,top
C7,158.75,-66.0,270.0,top
C8,105.41,-121.88,270.0,top
C9,151.13,-121.88,270.0,top
D1,200.025,-100.965,180.0,top
J1,118.74,-113.03,90.0,top
J10,112.41,-120.63,270.0,top
J2,118.74,-72.39,90.0,top
J3,219.085,-66.675,270.0,top
J4,219.085,-95.885,270.0,top
J5,217.81,-118.11,270.0,top
J6,217.81,-123.19,270.0,top
J7,239.395,-104.14,90.0,top
J8,239.4,-114.3,90.0,top
J9,74.925,-92.72,180.0,top
JP1,177.17,-117.475,0.0,top
JP2,169.55,-117.475,0.0,top
R1,141.605,-82.55,180.0,top
R2,166.37,-70.485,0.0,top
R3,166.37,-73.66,0.0,top
R4,179.705,-70.485,0.0,top
R5,179.705,-73.66,0.0,top
SW1,166.37,-65.06,180.0,top
SW2,177.8,-65.06,180.0,top
U1,118.745,-93.18149,0.0,top
U11,226.695,-109.135,90.0,top
U2,83.18,-64.78,90.0,top
U3,113.66,-64.78,90.0,top
U4,136.52,-120.66,90.0,top
U5,90.8,-120.66,90.0,top
U6,144.14,-64.78,90.0,top
U7,201.29,-110.5,90.0,top
U8,219.085,-81.2875,270.0,top
U9,170.815,-109.855,90.0,top
Y1,141.695,-93.375,0.0,top
